Content ID,Content Type,Category,Reaction Type,Datetime,Sentiment,Score,Month,,,Category,Category Totals,,,Top 5 Categories:,,,,,,Unique Categories,Frequency,,,,Month,No of posts,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,11/7/20 9:43,negative,0,Nov,,,travel,53935,,,travel,53935,,,,,travel,1368,,,,Jan,1573,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,6/17/21 12:22,negative,10,Jun,,,science,53657,,,science,53657,,,,,science,1351,,,,Feb,1426,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,4/18/21 5:13,negative,15,Apr,,,healthy eating,52745,,,healthy eating,52745,,,,,healthy eating,1303,,,,Mar,1502,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,1/6/21 19:13,negative,0,Jan,,,Animals,52443,,,Animals,52443,,,,,Animals,1323,,,,Apr,1496,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,8/23/20 12:25,positive,30,Aug,,,Cooking,49681,,,Cooking,49681,,,,,Cooking,1277,,,,May,1606,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,12/7/20 6:27,neutral,35,Dec,,,Culture,47710,,,,,,,,,Culture,1217,,,,Jun,1474,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,4/11/21 17:35,positive,70,Apr,,,food ,47576,,,,,,,,,food ,1183,,,,Jul,1542,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,1/27/21 8:32,negative,5,Jan,,,technology,46683,,,,,,,,,technology,1150,,,,Aug,1612,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,4/1/21 22:54,neutral,35,Apr,,,educcation,45103,,,,,,,,,educcation,1127,,,,Sep,1501,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,11/7/20 8:36,neutral,20,Nov,,,tennis,43612,,,,,,,,,tennis,1153,,,,Oct,1553,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,11/2/20 6:28,negative,15,Nov,,,soccer,42031,,,,,,,,,soccer,1065,,,,Nov,1514,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,11/1/20 1:16,positive,30,Nov,,,fitness,41829,,,,,,,,,fitness,1050,,,,Dec,1585,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,10/7/20 18:39,negative,5,Oct,,,dogs,41816,,,,,,,,,dogs,1047,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,9/3/20 18:51,negative,15,Sep,,,veganism,38513,,,,,,,,,veganism,948,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,2/24/21 5:09,positive,75,Feb,,,public speaking,37730,,,,,,,,,public speaking,911,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,9/23/20 6:24,neutral,35,Sep,,,Studying,35861,,,,,,,,,Studying,911,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,2/24/21 11:37,neutral,20,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,5/22/21 19:44,positive,30,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,11/20/20 17:26,neutral,35,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,4/11/21 20:47,negative,12,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,like,6/13/21 16:46,positive,50,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,heart,4/11/21 14:29,positive,60,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,3/2/21 19:21,negative,12,Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,6/27/20 18:44,negative,5,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,5/9/21 21:05,negative,5,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,8/4/20 23:58,positive,70,Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,8/28/20 3:57,positive,75,Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,4/20/21 23:48,negative,15,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,3/7/21 12:40,positive,30,Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,5/24/21 3:21,neutral,20,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,1/24/21 11:03,positive,75,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,4/9/21 2:46,negative,0,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,2/2/21 3:43,positive,75,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2/4/21 3:06,positive,30,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,11/9/20 2:49,negative,10,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,9/29/20 16:00,negative,15,Sep,,,Travel is the most popular category with highest score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
